movie_id,性别,星座,出生日期,出生地,职业,imdb编号,image,更多外文名,更多中文名,家庭成员,生卒日期,去世日期
1018014,男,双子座,1946年06月02日,"瑞典,斯德哥尔摩",导演 / 编剧 / 剪辑 / 制片人 / 摄影,nm0002120,https://img2.doubanio.com/view/celebrity/raw/public/p4333.jpg,Lars Hallström (本名),莱塞·霍尔斯道姆,莉娜·奥琳(妻),,
1275745,女,水瓶座,1974年02月18日,"黎巴嫩,黎巴嫩山,巴卜达",演员 / 导演 / 编剧 / 制片人,nm1701024,https://img1.doubanio.com/view/celebrity/raw/public/p18917.jpg,نادين لبكي,纳迪·拉巴基,Khaled Mouzanar(夫),,
1021999,男,摩羯座,1963年01月05日,"中国,河北,唐山",演员 / 导演 / 制片人 / 编剧 / 配音,nm0422638,https://img9.doubanio.com/view/celebrity/raw/public/p12466.jpg,Jiang Wen,姜小军(原名),周韵 (妻) / 姜一郎(女) / 姜洪齐 (父亲) / 姜武 (弟) / 桑德琳·舍妮维 (前妻) / 刘晓庆(前女友),,
1275075,男,巨蟹座,1965年07月01日,中国香港,导演 / 制片人 / 编剧 / 副导演 / 演员,nm0482592,https://img2.doubanio.com/view/personage/raw/public/b0cd2f4e9ec00b4afe5a8a561c0a35cf.jpg,Lam Chiu Yin,,,,
1048021,男,狮子座,1965年08月01日,"英国,伯克希尔",制片人 / 导演 / 演员 / 编剧,nm0005222,https://img2.doubanio.com/view/celebrity/raw/public/p271.jpg,Samuel Alexander Mendes (本名) / Midas Mendes (昵称),森曼特斯 / 山姆曼德斯,凯特·温丝莱特(前妻),,
1326752,男,,1980年10月,"中国,贵州省,遵义市,桐梓县",制片人 / 导演 / 编剧 / 演员,nm8824211,https://img2.doubanio.com/view/celebrity/raw/public/p1609303769.32.jpg,,,,,
1323799,男,摩羯座,1975年01月01日,"西班牙,加泰罗尼亚,巴塞罗那",编剧 / 导演 / 制片人,nm1079062,https://img1.doubanio.com/view/celebrity/raw/public/p1490063334.69.jpg,,,,,
1277959,男,双子座,1963年06月17日,"法国,巴黎",导演 / 编剧 / 制片人 / 演员,nm0056725,https://img9.doubanio.com/view/celebrity/raw/public/p24744.jpg,,克里斯托夫·巴拉捷 / 克里斯托夫·巴拉蒂,,,
1106979,男,白羊座,1960年04月04日,"中国,香港",导演 / 摄影 / 制片人 / 演员 / 编剧,nm0490487,https://img1.doubanio.com/view/celebrity/raw/public/p1403267018.07.jpg,Wai-keung Lau / Andrew Lau Wai-Keung,,,,
1126158,男,摩羯座,1965年01月01日,中国香港,导演 / 编剧 / 演员 / 副导演 / 制片人,nm0538320,https://img1.doubanio.com/view/celebrity/raw/public/p3547.jpg,Alan Mak Siu Fai / Mak Siu Fai / Siu Fai Mak,,,,
1022803,男,天秤座,1968年10月09日,"美国,明尼苏达州,布卢明顿",编剧 / 导演 / 制片人 / 演员 / 配音,nm0230032,https://img1.doubanio.com/view/celebrity/raw/public/p1288.jpg,Peter Hans Docter (本名),彼得·汉斯·道克特(全名),,,
1294383,男,摩羯座,1961年01月18日,"美国,俄亥俄州,伍斯特",配音 / 编剧 / 导演 / 演员,nm0677037,https://img9.doubanio.com/view/celebrity/raw/public/p1375330728.5.jpg,,,,,
1036390,男,射手座,1970年12月20日,"美国,纽约,布鲁克林",制片人 / 导演 / 编剧 / 演员,nm0680846,https://img1.doubanio.com/view/personage/raw/public/911d19e120e89829e59b35d3b04e4af8.jpg,Todd Bunzl (本名),陶德·菲利普斯,,,
1054421,男,天秤座,1954年10月23日,"中国台湾,屏东,潮州镇",导演 / 制片人 / 编剧 / 演员 / 剪辑,nm0000487,https://img9.doubanio.com/view/celebrity/raw/public/p595.jpg,An Lee / An Li / Энг Ли / 이안 / アン・リー / อังลี,,李昇(父) / 李杨思庄(母) / 李岗(弟) / 林惠嘉(妻) / 李淳(子),,
1306786,男,,1963年,"印度,孟买",导演 / 编剧,nm1437189,https://img2.doubanio.com/view/celebrity/raw/public/p1545725463.81.jpg,,,,,
1274246,男,金牛座,1961年05月01日,"中国,香港",演员 / 导演 / 编剧 / 制片人 / 副导演,nm0497758,https://img1.doubanio.com/view/celebrity/raw/public/p51748.jpg,LEE / Lik Chi,李导演 / 大力 / 东莞仔,刘家豪(恩师),,
1036450,男,射手座,1965年12月03日,"美国,马萨诸塞州,波士顿",编剧 / 导演 / 配音 / 制片人 / 演员,nm0004056,https://img1.doubanio.com/view/personage/raw/public/7f5f2802917593805c4c0aa2ce22d448.jpg,Andrew Christopher Stanton Jr. (本名),,Julie Stanton（妻）,,
1014716,男,摩羯座,1968年12月27日,中国香港,编剧 / 导演 / 演员 / 制片人,nm0159039,https://img9.doubanio.com/view/personage/raw/public/872ce845d4e6e3395ff1766bff891505.jpg,Chong Man Keung / Felix Chong Man Keung,,,,
1310636,男,双鱼座,1969年03月08日,美国、爱荷华州、格伦伍德,编剧 / 导演 / 配音 / 制片人,nm2320658,https://img1.doubanio.com/view/celebrity/raw/public/p1404107242.38.jpg,,,,,
1300949,男,金牛座,1968年04月23日,"美国,密苏里",编剧 / 导演 / 配音 / 演员 / 制片人,nm0930261,https://img1.doubanio.com/view/celebrity/raw/public/p1404107930.28.jpg,,,,,
1274351,男,双子座,1962年06月06日,"日本,东京,青濑",导演 / 编剧 / 剪辑 / 制片人 / 演员,nm0466153,https://img1.doubanio.com/view/personage/raw/public/bf3076aab44ea8b9036672ae1664b467.jpg,これえだ　ひろかず / Koreeda Hirokazu,,,,
1036605,男,射手座,1973年12月17日,"美国,马里兰州",导演 / 编剧 / 剪辑 / 制片人 / 演员,nm0426059,https://img1.doubanio.com/view/celebrity/raw/public/p55599.jpg,Rian Craig Johnson (本名),里安·约翰逊,,,
1362256,男,白羊座,1982年04月14日,上海,演员 / 导演 / 编剧 / 其它,nm8524410,https://img2.doubanio.com/view/celebrity/raw/public/p1573904630.1.jpg,,,,,
1362257,女,双子座,1982年06月06日,,导演 / 编剧 / 其它,nm5023548,https://img1.doubanio.com/view/celebrity/raw/public/p1477663883.18.jpg,,,,,
1313061,男,天蝎座,1967年11月01日,法国,配音 / 导演 / 制片人 / 演员 / 编剧,nm1853544,https://img9.doubanio.com/view/celebrity/raw/public/p1389806916.36.jpg,Pierre-Louis Padang Coffin,皮埃尔·科凡 / 小黄人,,,
1295449,男,处女座,1976年08月29日,,导演 / 配音 / 演员 / 美术 / 视觉特效,nm0719208,https://img1.doubanio.com/view/celebrity/raw/public/p29587.jpg,,,,,
1048026,男,巨蟹座,1962年06月22日,"中国,香港",演员 / 导演 / 编剧 / 制片人 / 配音,nm0159507,https://img2.doubanio.com/view/celebrity/raw/public/p1362491610.81.jpg,Sing-Chi Chow (本名) / Sing Jai (昵称) / 星仔(昵称),星爷(昵称) / 周星星(昵称),,,
1317274,男,双子座,1971年05月26日,"韩国,首尔",编剧 / 导演 / 制片人 / 演员 / 剪辑,nm1375363,https://img2.doubanio.com/view/personage/raw/public/dd8dd35ca490e8081abfebb296e1bafe.jpg,황동혁 / Dong Hyeuk Hwang,,,,
1010884,男,巨蟹座,1971年07月03日,"法国,巴黎",导演 / 编剧 / 演员 / 制片人,nm0865918,https://img2.doubanio.com/view/celebrity/raw/public/p50463.jpg,,,,,
1019002,男,处女座,1958年08月25日,"美国,加利福尼亚州,伯班克",导演 / 制片人 / 编剧 / 演员 / 美术,nm0000318,https://img1.doubanio.com/view/celebrity/raw/public/p44690.jpg,Timothy William Burton (本名),蒂姆·伯顿 / 提姆·波顿 / 添·布顿,Helena Bonham Carter(前妻) / Lisa Marie(前妻) / Monica Bellucci(女友),,
1035651,男,双鱼座,,"意大利,艾米利亚-罗马涅,帕尔马",导演 / 编剧 / 演员 / 制片人 / 配音,nm0000934,https://img9.doubanio.com/view/celebrity/raw/public/p374.jpg,,宾纳杜·贝托鲁奇 / 伯纳多·伯图鲁奇,,1941年03月16日 至 2018年11月26日,
1313103,男,金牛座,1963年05月13日,泰国,导演 / 演员 / 编剧,nm4399063,https://img2.doubanio.com/view/celebrity/raw/public/p44923.jpg,พุฒิพงศ์ พรหมสาขา ณ สกลนคร,,Ratree Wittawat(妻),,
1313104,男,,,,导演 / 演员 / 编剧,nm4399052,https://img9.doubanio.com/view/celebrity/raw/public/p1501652464.15.jpg,วศิน ปกป้อง,,,,
1010552,男,巨蟹座,1964年06月23日,"美国,纽约",编剧 / 导演 / 制片人 / 演员 / 其它,nm0923736,https://img2.doubanio.com/view/celebrity/raw/public/p1371527788.81.jpg,Joseph Hill Whedon (本名),尾灯(昵称),,,
1036409,男,射手座,1961年11月28日,"墨西哥,墨西哥城联邦区",制片人 / 导演 / 编剧 / 剪辑 / 副导演,nm0190859,https://img1.doubanio.com/view/personage/raw/public/407ab8f3a77accbd4b6d4b58be1ab5d8.jpg,Alfonso Cuarón Orozco (本名) / Alfie (昵称),,霍纳斯·卡隆(子) / 卡洛斯·卡隆(弟),,
1275147,男,天秤座,1963年10月08日,"英国,默西塞德郡,圣海伦斯",导演 / 制片人 / 演员,nm0946734,https://img1.doubanio.com/view/celebrity/raw/public/p9900.jpg,,大卫·耶茨,,,
1054530,男,摩羯座,1956年01月03日,"美国,纽约,皮克斯基尔",演员 / 导演 / 制片人 / 编剧 / 配音,nm0000154,https://img1.doubanio.com/view/celebrity/raw/public/p1485855325.98.jpg,Mel Columcille Gerard Gibson (本名),米路吉逊 / 梅尔吉勃逊 / 梅尔·吉普森,Robyn Moore（前妻）,,
1027164,男,天秤座,1966年10月19日,"美国,纽约,皇后区",演员 / 制片人 / 导演 / 编剧 / 配音,nm0269463,https://img9.doubanio.com/view/celebrity/raw/public/p1405546733.56.jpg,Jonathan Kolia Favreau (本名) / Favs (昵称),强·费儒 / 乔恩·法夫罗,Joya Tillem（妻）,,
1031987,男,双鱼座,1964年03月16日,"美国,田纳西州,橡树岭",导演 / 制片人 / 编剧 / 配音 / 音乐,nm0893659,https://img1.doubanio.com/view/celebrity/raw/public/p4299.jpg,Gregor Verbinski (本名),高尔韦宾斯基,,,
1054518,男,处女座,1953年09月03日,"法国,卢瓦尔河,罗安娜",导演 / 编剧 / 制片人 / 演员,nm0000466,https://img1.doubanio.com/view/celebrity/raw/public/p9069.jpg,Jean Pierre Jeunet / Jean-Pierre Jeunett,,,,
1044872,男,金牛座,1969年05月01日,"美国,得克萨斯州,休斯敦",导演 / 编剧 / 制片人 / 演员 / 配音,nm0027572,https://img1.doubanio.com/view/celebrity/raw/public/p1372326428.67.jpg,Wesley Wales Anderson(本名),,埃里克·安德森(弟) / 梅尔·安德森(兄) / 德克萨斯·安德森(父) / 梅尔弗·安德森(母),,
1054425,男,天蝎座,1942年11月17日,"美国,纽约,皇后区",制片人 / 演员 / 导演 / 编剧 / 配音,nm0000217,https://img1.doubanio.com/view/personage/raw/public/43fb2ed0ca3e05305ca1743b809b3ae7.jpg,Martin Marcantonio Luciano Scorsese (本名) / Marty (昵称),马丁·斯科西斯 / 马田史高西斯 / 马丁史柯席斯 / 马丁·斯科塞西,,,
1028844,男,处女座,1959年09月21日,"韩国,首尔",导演 / 制片人 / 演员,nm1045937,https://img1.doubanio.com/view/personage/raw/public/332cdee5e0525fca676d4c6e08f2358d.jpg,이준익 / 李俊益,李浚谥 / 李准益,,,
1012521,男,处女座,1962年08月28日,"美国,科罗拉多,丹佛",导演 / 制片人 / 演员 / 视觉特效 / 编剧,nm0000399,https://img1.doubanio.com/view/celebrity/raw/public/p22137.jpg,David Andrew Leo Fincher(本名) / Davey(昵称) / Finch(昵称),大卫·芬查(港) / 戴维·芬彻,唐雅·菲奥伦提诺(前妻) / Ceán Chaffin(妻) / 杰克·芬奇(父),,
1326818,男,,,,编剧 / 导演,nm0210320,https://img9.doubanio.com/view/celebrity/raw/public/p1363846957.86.jpg,,科克·得·米克,,,
1032241,男,双鱼座,1960年03月15日,"美国,科罗拉多州",编剧 / 配音 / 导演 / 演员,nm0761498,https://img2.doubanio.com/view/celebrity/raw/public/p1363847021.32.jpg,Christopher Michael Sanders (本名) / Stitch (昵称),,,,
1000304,男,白羊座,1970年03月26日,"英国,伦敦,坎伯韦尔",编剧 / 导演 / 制片人 / 演员,nm1732981,https://img2.doubanio.com/view/celebrity/raw/public/p1515679206.2.jpg,,马丁·麦克多纳 / 马丁·麦克道纳格,约翰·迈克尔·麦克唐纳(哥) / Phoebe Waller-Bridge（女友）,,
1279265,男,,,"美国,纽约",编剧 / 导演,nm0107774,https://img2.doubanio.com/view/celebrity/raw/public/p47492.jpg,,,,,
1285555,男,,,,编剧 / 导演,nm0344259,https://img2.doubanio.com/view/celebrity/raw/public/p1481012767.62.jpg,,,乔治娅·格温·格鲁伯(妻),,
1092322,男,狮子座,1966年08月05日,"美国,密苏里州,圣路易斯",编剧 / 演员 / 制片人 / 导演 / 配音,nm0348181,https://img9.doubanio.com/view/personage/raw/public/0b93cff6c8a71252496cfa00b84996e6.jpg,James Francis Gunn Jr. (本名),詹姆斯·冈 / 詹姆斯·冈恩,肖恩·古恩(弟) / Jennifer Holland(妻),,
1280664,男,天蝎座,1953年10月31日,"中国,香港",动作特技 / 导演 / 演员 / 副导演 / 制片人,nm0155642,https://img2.doubanio.com/view/celebrity/raw/public/p17793.jpg,Tony Ching,程冬儿(本名),程刚(父),,
1013899,女,摩羯座,1967年12月29日,"美国,伊利诺伊州,芝加哥",编剧 / 制片人 / 导演 / 演员 / 其它,nm0905152,https://img9.doubanio.com/view/personage/raw/public/18e86f6e7e98443b96fbd6eaa44a0086.jpg,Andrew Paul Wachowski (本名),安迪·沃卓斯基 / 安迪·华卓斯基 / 安迪·华高斯基(港) / 安迪·华卓斯基(台) / 安迪·瓦霍夫斯基,拉娜·沃卓斯基(姐),,
1161012,女,双子座,1965年06月21日,"美国,伊利诺伊州,芝加哥",编剧 / 制片人 / 导演 / 演员,nm0905154,https://img1.doubanio.com/view/personage/raw/public/547c996d7e9e5c3289391c319d62c5e0.jpg,Laurence Wachowski (本名) / Larry Wachowski,拉里·沃卓斯基 / 拉娜·华高斯基(港) / 拉娜·华卓斯基(台) / 拉娜·瓦霍夫斯基,莉莉·沃卓斯基(妹),,
1055265,男,狮子座,1951年08月08日,"美国,纽约,布朗克斯",导演 / 演员 / 制片人 / 编剧 / 剪辑,nm0000976,https://img9.doubanio.com/view/celebrity/raw/public/p1419820827.16.jpg,,马丁·布莱斯 / 马丁·布雷斯特,,,
1274265,男,处女座,1977年09月09日,"中国,山西,太原",制片人 / 演员 / 导演 / 编剧 / 剪辑,nm1928500,https://img9.doubanio.com/view/celebrity/raw/public/p1366357991.6.jpg,,,邢爱娜(妻),,
1310107,男,,,,配音 / 导演 / 编剧,nm2130108,https://img1.doubanio.com/view/celebrity/raw/public/p1519064730.28.jpg,Robert Persichetti Jr.,,,,
1324415,男,,,,导演 / 制片人 / 配音,nm0709056,https://img2.doubanio.com/view/celebrity/raw/public/p59042.jpg,,,,,
1379633,男,天秤座,1984年10月04日,"中国,北京",导演 / 编剧 / 配音,nm10879834,https://img1.doubanio.com/view/celebrity/raw/public/p1568010971.7.jpg,,,,,
1275041,男,处女座,1972年08月25日,"英国,伦敦",导演 / 制片人 / 演员,nm0942504,https://img9.doubanio.com/view/celebrity/raw/public/p16854.jpg,,乔·怀特 / 乔·莱特,裴淳华(前女友) / Anoushka Shankar(前妻),,
1040524,男,天蝎座,1961年10月31日,"新西兰,北岛,Pukerua湾",演员 / 制片人 / 导演 / 编剧 / 视觉特效,nm0001392,https://img9.doubanio.com/view/celebrity/raw/public/p1357536311.45.jpg,PJ (昵称),彼德·积逊(港) / 彼得·杰克森(台) / 彼特·杰克逊 / 彼德·杰克逊,Fran Walsh(妻),,
1033402,男,双鱼座,1976年03月10日,"瑞士,苏黎世",导演 / 编剧,nm1312629,https://img9.doubanio.com/view/celebrity/raw/public/p40705.jpg,,阿兰·格斯波纳,,,
1018302,男,双子座,1970年06月07日,加拿大，魁北克省，Aylmer,编剧 / 导演 / 剪辑,nm0213450,https://img1.doubanio.com/view/celebrity/raw/public/p18169.jpg,,,,,
1014996,男,摩羯座,1985年01月19日,"美国,罗得岛,普罗维登斯",编剧 / 导演 / 制片人 / 摄影 / 演员,nm3227090,https://img9.doubanio.com/view/personage/raw/public/59813d9c2f66ca193d633d22c4a6e954.jpg,Damien Sayre Chazelle,达米安·沙泽勒 / 达明·舍泽尔,Jasmine McGlade(前妻) / 奥莉维亚·汉密尔顿(妻) / 安娜·查泽雷(妹),,
1070754,男,水瓶座,1970年01月25日,"美国,宾夕法尼亚州,匹兹堡",编剧 / 导演 / 制片人 / 演员,nm0154716,https://img2.doubanio.com/view/celebrity/raw/public/p57551.jpg,Steve Chbosky,斯蒂芬·切波斯基 / 史提芬·查保基,,,
1076354,男,狮子座,1975年08月16日,新西兰,导演 / 演员 / 编剧 / 制片人 / 配音,nm0169806,https://img2.doubanio.com/view/celebrity/raw/public/p1589336680.53.jpg,Taika Cohen,塔基·科昂 / 泰格·韦替替 / 泰卡·怀蒂蒂,Rita Ora(妻),,
1032064,男,双鱼座,,"美国,纽约,长岛,鲍德温",导演 / 制片人 / 演员 / 编剧 / 摄影,nm0001129,https://img1.doubanio.com/view/celebrity/raw/public/p19680.jpg,Robert Jonathan Demme (本名),强纳森·德米,,1944年02月22日 至 2017年04月26日,
1274278,男,摩羯座,1962年1月2日,"中国,山西,大同",导演 / 编剧 / 制片人 / 演员 / 剪辑,nm3148857,https://img2.doubanio.com/view/personage/raw/public/0f9bfb358bb84f82e871436bbeacddc1.jpg,,,,,
1304615,男,,1969年,印度，海得拉巴,导演 / 编剧 / 演员 / 摄影 / 副导演,nm1203138,https://img9.doubanio.com/view/celebrity/raw/public/p57344.jpg,,,,,
1276314,男,天蝎座,1968年10月25日,"美国,新泽西州,普林斯顿市",编剧 / 导演 / 制片人 / 演员,nm0003160,https://img1.doubanio.com/view/celebrity/raw/public/p1535912054.09.jpg,Christopher Allen McQuarrie (本名),克里斯托夫·迈考利,Heather McQuarrie(妻),,
1279552,男,双鱼座,1958年02月24日,"美国,堪萨斯州,威奇托",编剧 / 导演 / 配音 / 制片人,nm0118333,https://img1.doubanio.com/view/celebrity/raw/public/p1605755483.09.jpg,,,,,
1335174,女,,1971年,"美国,罗德岛",编剧 / 制片人 / 演员 / 导演 / 配音,nm1601644,https://img1.doubanio.com/view/celebrity/raw/public/p1392548591.79.jpg,,,,,
1054416,男,射手座,1937年11月30日,"英国,英格兰",制片人 / 导演 / 演员 / 编剧 / 美术,nm0000631,https://img1.doubanio.com/view/celebrity/raw/public/p588.jpg,Rid (昵称) / R-Scott (昵称),烈尼·史葛(港) / 雷利·史考特(台) / 里德利·斯科特,Giannina Facio(妻) / Tony Scott(弟) / Jordan Scott(女) / Jake Scott(子) / Luke Scott(子),,
1274331,男,金牛座,1955年05月03日,"中国,香港",编剧 / 导演 / 制片人 / 演员 / 美术,nm0939147,https://img2.doubanio.com/view/celebrity/raw/public/p1591927702.33.jpg,,王日祥 (本名) / 不是女人(笔名),王天林(父) / 丁德君(妻) / 王子涵(女),,
1041021,男,狮子座,1952年07月24日,"美国,肯塔基州,路易斯维尔",导演 / 制片人 / 编剧 / 演员 / 剪辑,nm0001814,https://img2.doubanio.com/view/celebrity/raw/public/p461.jpg,Gus Greene Van Sant Junior(本名),加斯·范桑特 / 葛斯范桑(台),,,
1032493,男,双鱼座,1957年03月15日,"美国,纽约",导演 / 制片人 / 演员 / 配音 / 副导演,nm0798899,https://img9.doubanio.com/view/celebrity/raw/public/p36456.jpg,,大卫·斯沃曼,,,
1036395,男,射手座,1963年12月16日,"美国,纽约",导演 / 制片人 / 编剧 / 演员,nm0003506,https://img1.doubanio.com/view/personage/raw/public/a610788978e21e06d2e0d603d7860c99.jpg,James Allen Mangold (本名),詹姆斯·曼戈尔德,,,
