person_id,name,name_cn,name_en,性别,星座,出生日期,出生地,职业,imdb编号,image,更多外文名,更多中文名,家庭成员,生卒日期,去世日期
1022678,李·昂克里奇 Lee Unkrich,李·昂克里奇,Lee Unkrich,男,狮子座,1967年08月08日,"美国,俄亥俄州克利夫兰市",导演 / 剪辑 / 配音 / 编剧 / 制片人,nm0881279,https://img1.doubanio.com/view/celebrity/raw/public/p13830.jpg,Lee Edward Unkrich (本名),里·昂克里奇,,,
1370425,阿德里安·莫利纳 Adrian Molina,阿德里安·莫利纳,Adrian Molina,男,处女座,1985年08月23日,"Yuba City, CA",编剧 / 导演,nm2937122,https://img2.doubanio.com/view/celebrity/raw/public/p1497195148.21.jpg,,阿德里安·莫里纳,Ryan Dooley (伴侣),,
1023040,陈凯歌 Kaige Chen,陈凯歌,Kaige Chen,男,狮子座,1952年08月12日,"中国,北京",导演 / 编剧 / 演员 / 制片人 / 美术,nm0155280,https://img9.doubanio.com/view/personage/raw/public/03037b9efcfd5a2e33c9f5df51d94815.jpg,Chen Kai Ge / Chen Kaige / 첸 카이거,陈皑鸽(别名),陈怀皑(父) / 陈红(妻) / 陈雨昂(长子) / 陈飞宇(次子) / 洪晃(前妻),,
1031903,罗伯·莱纳 Rob Reiner,罗伯·莱纳,Rob Reiner,男,双鱼座,1947年03月06日,"美国,纽约,布朗克斯",演员 / 导演 / 制片人 / 编剧 / 配音,nm0001661,https://img2.doubanio.com/view/celebrity/raw/public/p1379484184.83.jpg,Robert Norman Reiner (本名),罗伯·雷尼尔 / 罗伯·赖纳 / 罗伯·雷恩,,,
1286677,拉吉库马尔·希拉尼 Rajkumar Hirani,拉吉库马尔·希拉尼,Rajkumar Hirani,男,天蝎座,1962年11月20日,"印度,那格浦尔",编剧 / 导演 / 制片人 / 剪辑 / 演员,nm0386246,https://img1.doubanio.com/view/celebrity/raw/public/p16549.jpg,Raju Hirani,拉库马·希拉尼,,,
1005177,新海诚 Makoto Shinkai,新海诚,Makoto Shinkai,男,水瓶座,1973年02月09日,"日本,长野,南佐久",编剧 / 导演 / 摄影 / 剪辑 / 制片人,nm1396121,https://img1.doubanio.com/view/personage/raw/public/8e0438735ffb77e132932686ad8c78ed.jpg,しんかい まこと(假名) / The New Hayao Miyazaki(昵称) / Makoto Niitsu(本名) / Shinkai Makoto,新津诚(本名),三坂知绘子(妻) / 新津知世(女),,
1049716,克里斯·哥伦布 Chris Columbus,克里斯·哥伦布,Chris Columbus,男,处女座,1958年09月10日,"美国,宾夕法尼亚州,斯潘格勒",制片人 / 导演 / 编剧 / 演员,nm0001060,https://img1.doubanio.com/view/celebrity/raw/public/p10680.jpg,Christopher Columbus (本名),,Brendan Columbus(儿子) / Eleanor Columbus(女儿) / Violet Columbus(女儿) / Isabella Columbus(女儿),,
1062919,奉俊昊 Joon-ho Bong,奉俊昊,Joon-ho Bong,男,处女座,1969年09月14日,"韩国,大邱,广域市",编剧 / 导演 / 制片人 / 演员 / 剪辑,nm0094435,https://img9.doubanio.com/view/personage/raw/public/aa0a5f38b6915450265cd4a913962b45.jpg,봉준호 / Pong Chunho / Bong Jun-ho,,郑善英（妻） / 奉孝旻（子）,,
1022721,彼得·威尔 Peter Weir,彼得·威尔,Peter Weir,,狮子座,1944年08月21日,"澳大利亚,新南威尔士,悉尼",导演 / 编剧 / 演员 / 制片人,nm0001837,https://img1.doubanio.com/view/celebrity/raw/public/p4360.jpg,Peter Lindsay Weir (本名),彼德·威尔,,,
1322175,延尚昊 Sang-ho Yeon,延尚昊,Sang-ho Yeon,,摩羯座,1978年12月25日,韩国,编剧 / 导演 / 制片人 / 配音 / 剪辑,nm3613566,https://img1.doubanio.com/view/celebrity/raw/public/p1523867987.28.jpg,연상호,延相昊,,,
1054440,史蒂文·斯皮尔伯格 Steven Spielberg,史蒂文·斯皮尔伯格,Steven Spielberg,男,射手座,1946年12月18日,"美国,俄亥俄州,辛辛那提",制片人 / 演员 / 导演 / 编剧 / 副导演,nm0000229,https://img1.doubanio.com/view/personage/raw/public/b4a6321d293a5c936ca7a29b5c07ad8c.jpg,Steven Allan Spielberg (本名),史提芬·史匹堡(港) / 史蒂芬·斯皮尔伯格 / 斯蒂文·斯皮尔伯格 / 史蒂芬·史匹柏(台),阿诺德·斯皮尔伯格(父) / 莉亚·阿德勒(母) / 凯特·卡普肖(妻) / 萨沙·斯皮尔伯格(女) / 西奥·斯皮尔伯格(子) / 马克斯·斯皮尔伯格(子),,
1045093,加布里埃莱·穆奇诺 Gabriele Muccino,加布里埃莱·穆奇诺,Gabriele Muccino,男,金牛座,1967年05月20日,"意大利,罗马",导演 / 编剧 / 制片人 / 演员,nm0610831,https://img1.doubanio.com/view/celebrity/raw/public/p20409.jpg,,加布里尔·穆奇诺,,,
1321812,安东尼·罗素 Anthony Russo,安东尼·罗素,Anthony Russo,男,,1970年,美国,制片人 / 导演 / 编剧 / 演员 / 剪辑,nm0751577,https://img1.doubanio.com/view/celebrity/raw/public/p1555672594.77.jpg,Anthony J. Russo (本名),安东尼·卢素,乔·罗素(弟),,
1320870,乔·罗素 Joe Russo,乔·罗素,Joe Russo,男,,1971年,美国,制片人 / 导演 / 演员 / 编剧 / 剪辑,nm0751648,https://img9.doubanio.com/view/personage/raw/public/b7f8b35eb2fa51721aff0761b63ad246.jpg,Joseph Vincent Russo (本名),乔·卢素,安东尼·罗素(哥),,
1018014,拉斯·霍尔斯道姆 Lasse Hallström,拉斯·霍尔斯道姆,Lasse Hallström,男,双子座,1946年06月02日,"瑞典,斯德哥尔摩",导演 / 编剧 / 剪辑 / 制片人 / 摄影,nm0002120,https://img2.doubanio.com/view/celebrity/raw/public/p4333.jpg,Lars Hallström (本名),莱塞·霍尔斯道姆,莉娜·奥琳(妻),,
1275745,娜丁·拉巴基 Nadine Labaki,娜丁·拉巴基,Nadine Labaki,女,水瓶座,1974年02月18日,"黎巴嫩,黎巴嫩山,巴卜达",演员 / 导演 / 编剧 / 制片人,nm1701024,https://img1.doubanio.com/view/celebrity/raw/public/p18917.jpg,نادين لبكي,纳迪·拉巴基,Khaled Mouzanar(夫),,
1021999,姜文 Wen Jiang,姜文,Wen Jiang,男,摩羯座,1963年01月05日,"中国,河北,唐山",演员 / 导演 / 制片人 / 编剧 / 配音,nm0422638,https://img9.doubanio.com/view/celebrity/raw/public/p12466.jpg,Jiang Wen,姜小军(原名),周韵 (妻) / 姜一郎(女) / 姜洪齐 (父亲) / 姜武 (弟) / 桑德琳·舍妮维 (前妻) / 刘晓庆(前女友),,
1275075,林超贤 Dante Lam,林超贤,Dante Lam,男,巨蟹座,1965年07月01日,中国香港,导演 / 制片人 / 编剧 / 副导演 / 演员,nm0482592,https://img2.doubanio.com/view/personage/raw/public/b0cd2f4e9ec00b4afe5a8a561c0a35cf.jpg,Lam Chiu Yin,,,,
1048021,萨姆·门德斯 Sam Mendes,萨姆·门德斯,Sam Mendes,男,狮子座,1965年08月01日,"英国,伯克希尔",制片人 / 导演 / 演员 / 编剧,nm0005222,https://img2.doubanio.com/view/celebrity/raw/public/p271.jpg,Samuel Alexander Mendes (本名) / Midas Mendes (昵称),森曼特斯 / 山姆曼德斯,凯特·温丝莱特(前妻),,
1326752,饶晓志 Xiaozhi Rao,饶晓志,Xiaozhi Rao,男,,1980年10月,"中国,贵州省,遵义市,桐梓县",制片人 / 导演 / 编剧 / 演员,nm8824211,https://img2.doubanio.com/view/celebrity/raw/public/p1609303769.32.jpg,,,,,
1323799,奥里奥尔·保罗 Oriol Paulo,奥里奥尔·保罗,Oriol Paulo,男,摩羯座,1975年01月01日,"西班牙,加泰罗尼亚,巴塞罗那",编剧 / 导演 / 制片人,nm1079062,https://img1.doubanio.com/view/celebrity/raw/public/p1490063334.69.jpg,,,,,
1277959,克里斯托夫·巴哈蒂 Christophe Barratier,克里斯托夫·巴哈蒂,Christophe Barratier,男,双子座,1963年06月17日,"法国,巴黎",导演 / 编剧 / 制片人 / 演员,nm0056725,https://img9.doubanio.com/view/celebrity/raw/public/p24744.jpg,,克里斯托夫·巴拉捷 / 克里斯托夫·巴拉蒂,,,
1106979,刘伟强 Andrew Lau,刘伟强,Andrew Lau,男,白羊座,1960年04月04日,"中国,香港",导演 / 摄影 / 制片人 / 演员 / 编剧,nm0490487,https://img1.doubanio.com/view/celebrity/raw/public/p1403267018.07.jpg,Wai-keung Lau / Andrew Lau Wai-Keung,,,,
1126158,麦兆辉 Alan Mak,麦兆辉,Alan Mak,男,摩羯座,1965年01月01日,中国香港,导演 / 编剧 / 演员 / 副导演 / 制片人,nm0538320,https://img1.doubanio.com/view/celebrity/raw/public/p3547.jpg,Alan Mak Siu Fai / Mak Siu Fai / Siu Fai Mak,,,,
1022803,彼特·道格特 Pete Docter,彼特·道格特,Pete Docter,男,天秤座,1968年10月09日,"美国,明尼苏达州,布卢明顿",编剧 / 导演 / 制片人 / 演员 / 配音,nm0230032,https://img1.doubanio.com/view/celebrity/raw/public/p1288.jpg,Peter Hans Docter (本名),彼得·汉斯·道克特(全名),,,
1294383,鲍勃·彼德森 Bob Peterson,鲍勃·彼德森,Bob Peterson,男,摩羯座,1961年01月18日,"美国,俄亥俄州,伍斯特",配音 / 编剧 / 导演 / 演员,nm0677037,https://img9.doubanio.com/view/celebrity/raw/public/p1375330728.5.jpg,,,,,
1036390,托德·菲利普斯 Todd Phillips,托德·菲利普斯,Todd Phillips,男,射手座,1970年12月20日,"美国,纽约,布鲁克林",制片人 / 导演 / 编剧 / 演员,nm0680846,https://img1.doubanio.com/view/personage/raw/public/911d19e120e89829e59b35d3b04e4af8.jpg,Todd Bunzl (本名),陶德·菲利普斯,,,
1054421,李安 Ang Lee,李安,Ang Lee,男,天秤座,1954年10月23日,"中国台湾,屏东,潮州镇",导演 / 制片人 / 编剧 / 演员 / 剪辑,nm0000487,https://img9.doubanio.com/view/celebrity/raw/public/p595.jpg,An Lee / An Li / Энг Ли / 이안 / アン・リー / อังลี,,李昇(父) / 李杨思庄(母) / 李岗(弟) / 林惠嘉(妻) / 李淳(子),,
1306786,斯里兰姆·拉格万 Sriram Raghavan,斯里兰姆·拉格万,Sriram Raghavan,男,,1963年,"印度,孟买",导演 / 编剧,nm1437189,https://img2.doubanio.com/view/celebrity/raw/public/p1545725463.81.jpg,,,,,
1274246,李力持 Lik-Chi Lee,李力持,Lik-Chi Lee,男,金牛座,1961年05月01日,"中国,香港",演员 / 导演 / 编剧 / 制片人 / 副导演,nm0497758,https://img1.doubanio.com/view/celebrity/raw/public/p51748.jpg,LEE / Lik Chi,李导演 / 大力 / 东莞仔,刘家豪(恩师),,
1036450,安德鲁·斯坦顿 Andrew Stanton,安德鲁·斯坦顿,Andrew Stanton,男,射手座,1965年12月03日,"美国,马萨诸塞州,波士顿",编剧 / 导演 / 配音 / 制片人 / 演员,nm0004056,https://img1.doubanio.com/view/personage/raw/public/7f5f2802917593805c4c0aa2ce22d448.jpg,Andrew Christopher Stanton Jr. (本名),,Julie Stanton（妻）,,
1014716,庄文强 Felix Chong,庄文强,Felix Chong,男,摩羯座,1968年12月27日,中国香港,编剧 / 导演 / 演员 / 制片人,nm0159039,https://img9.doubanio.com/view/personage/raw/public/872ce845d4e6e3395ff1766bff891505.jpg,Chong Man Keung / Felix Chong Man Keung,,,,
1310636,唐·霍尔 Don Hall,唐·霍尔,Don Hall,男,双鱼座,1969年03月08日,美国、爱荷华州、格伦伍德,编剧 / 导演 / 配音 / 制片人,nm2320658,https://img1.doubanio.com/view/celebrity/raw/public/p1404107242.38.jpg,,,,,
1300949,克里斯·威廉姆斯 Chris Williams,克里斯·威廉姆斯,Chris Williams,男,金牛座,1968年04月23日,"美国,密苏里",编剧 / 导演 / 配音 / 演员 / 制片人,nm0930261,https://img1.doubanio.com/view/celebrity/raw/public/p1404107930.28.jpg,,,,,
1274351,是枝裕和 Hirokazu Koreeda,是枝裕和,Hirokazu Koreeda,男,双子座,1962年06月06日,"日本,东京,青濑",导演 / 编剧 / 剪辑 / 制片人 / 演员,nm0466153,https://img1.doubanio.com/view/personage/raw/public/bf3076aab44ea8b9036672ae1664b467.jpg,これえだ　ひろかず / Koreeda Hirokazu,,,,
1036605,莱恩·约翰逊 Rian Johnson,莱恩·约翰逊,Rian Johnson,男,射手座,1973年12月17日,"美国,马里兰州",导演 / 编剧 / 剪辑 / 制片人 / 演员,nm0426059,https://img1.doubanio.com/view/celebrity/raw/public/p55599.jpg,Rian Craig Johnson (本名),里安·约翰逊,,,
1362256,周申 Shen Zhou,周申,Shen Zhou,男,白羊座,1982年04月14日,上海,演员 / 导演 / 编剧 / 其它,nm8524410,https://img2.doubanio.com/view/celebrity/raw/public/p1573904630.1.jpg,,,,,
1362257,刘露 Lu Liu,刘露,Lu Liu,女,双子座,1982年06月06日,,导演 / 编剧 / 其它,nm5023548,https://img1.doubanio.com/view/celebrity/raw/public/p1477663883.18.jpg,,,,,
1313061,皮埃尔·柯芬 Pierre Coffin,皮埃尔·柯芬,Pierre Coffin,男,天蝎座,1967年11月01日,法国,配音 / 导演 / 制片人 / 演员 / 编剧,nm1853544,https://img9.doubanio.com/view/celebrity/raw/public/p1389806916.36.jpg,Pierre-Louis Padang Coffin,皮埃尔·科凡 / 小黄人,,,
1295449,克里斯·雷纳德 Chris Renaud,克里斯·雷纳德,Chris Renaud,男,处女座,1976年08月29日,,导演 / 配音 / 演员 / 美术 / 视觉特效,nm0719208,https://img1.doubanio.com/view/celebrity/raw/public/p29587.jpg,,,,,
1048026,周星驰 Stephen Chow,周星驰,Stephen Chow,男,巨蟹座,1962年06月22日,"中国,香港",演员 / 导演 / 编剧 / 制片人 / 配音,nm0159507,https://img2.doubanio.com/view/celebrity/raw/public/p1362491610.81.jpg,Sing-Chi Chow (本名) / Sing Jai (昵称) / 星仔(昵称),星爷(昵称) / 周星星(昵称),,,
1317274,黄东赫 Dong-hyuk Hwang,黄东赫,Dong-hyuk Hwang,男,双子座,1971年05月26日,"韩国,首尔",编剧 / 导演 / 制片人 / 演员 / 剪辑,nm1375363,https://img2.doubanio.com/view/personage/raw/public/dd8dd35ca490e8081abfebb296e1bafe.jpg,황동혁 / Dong Hyeuk Hwang,,,,
1001404,奥利维埃·纳卡什 Olivier Nakache,奥利维埃·纳卡什,Olivier Nakache,,白羊座,1973年04月14日,"法国,巴黎,叙雷讷",导演 / 编剧 / 演员 / 制片人,nm0619923,https://img1.doubanio.com/view/celebrity/raw/public/p41640.jpg,,奥利维·那卡什,,,
1010884,埃里克·托莱达诺 Eric Toledano,埃里克·托莱达诺,Eric Toledano,男,巨蟹座,1971年07月03日,"法国,巴黎",导演 / 编剧 / 演员 / 制片人,nm0865918,https://img2.doubanio.com/view/celebrity/raw/public/p50463.jpg,,,,,
1019002,蒂姆·波顿 Tim Burton,蒂姆·波顿,Tim Burton,男,处女座,1958年08月25日,"美国,加利福尼亚州,伯班克",导演 / 制片人 / 编剧 / 演员 / 美术,nm0000318,https://img1.doubanio.com/view/celebrity/raw/public/p44690.jpg,Timothy William Burton (本名),蒂姆·伯顿 / 提姆·波顿 / 添·布顿,Helena Bonham Carter(前妻) / Lisa Marie(前妻) / Monica Bellucci(女友),,
1035651,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,贝纳尔多·贝托鲁奇,Bernardo Bertolucci,男,双鱼座,,"意大利,艾米利亚-罗马涅,帕尔马",导演 / 编剧 / 演员 / 制片人 / 配音,nm0000934,https://img9.doubanio.com/view/celebrity/raw/public/p374.jpg,,宾纳杜·贝托鲁奇 / 伯纳多·伯图鲁奇,,1941年03月16日 至 2018年11月26日,
1313103,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn,普特鹏·普罗萨卡·那·萨克那卡林,Puttipong Promsaka Na Sakolnakorn,男,金牛座,1963年05月13日,泰国,导演 / 演员 / 编剧,nm4399063,https://img2.doubanio.com/view/celebrity/raw/public/p44923.jpg,พุฒิพงศ์ พรหมสาขา ณ สกลนคร,,Ratree Wittawat(妻),,
1313104,华森·波克彭 Wasin pokpong,华森·波克彭,Wasin pokpong,男,,,,导演 / 演员 / 编剧,nm4399052,https://img9.doubanio.com/view/celebrity/raw/public/p1501652464.15.jpg,วศิน ปกป้อง,,,,
1010552,乔斯·韦登 Joss Whedon,乔斯·韦登,Joss Whedon,男,巨蟹座,1964年06月23日,"美国,纽约",编剧 / 导演 / 制片人 / 演员 / 其它,nm0923736,https://img2.doubanio.com/view/celebrity/raw/public/p1371527788.81.jpg,Joseph Hill Whedon (本名),尾灯(昵称),,,
1036409,阿方索·卡隆 Alfonso Cuarón,阿方索·卡隆,Alfonso Cuarón,男,射手座,1961年11月28日,"墨西哥,墨西哥城联邦区",制片人 / 导演 / 编剧 / 剪辑 / 副导演,nm0190859,https://img1.doubanio.com/view/personage/raw/public/407ab8f3a77accbd4b6d4b58be1ab5d8.jpg,Alfonso Cuarón Orozco (本名) / Alfie (昵称),,霍纳斯·卡隆(子) / 卡洛斯·卡隆(弟),,
1010691,威廉·惠勒 William Wyler,威廉·惠勒,William Wyler,,巨蟹座,,"法国,阿尔萨斯",导演 / 制片人 / 演员 / 副导演 / 摄影,nm0943758,https://img9.doubanio.com/view/celebrity/raw/public/p1485245573.54.jpg,Willi Wyler (本名) / 90-Take Willie (昵称) / Willy (昵称),威廉韦勒(港) / 威廉·威勒 / 威廉·怀勒,玛格丽特·苏利文(前妻) / 玛格丽特·塔利切特(妻),1902年07月01日 至 1981年07月27日,
1275147,大卫·叶茨 David Yates,大卫·叶茨,David Yates,男,天秤座,1963年10月08日,"英国,默西塞德郡,圣海伦斯",导演 / 制片人 / 演员,nm0946734,https://img1.doubanio.com/view/celebrity/raw/public/p9900.jpg,,大卫·耶茨,,,
1054530,梅尔·吉布森 Mel Gibson,梅尔·吉布森,Mel Gibson,男,摩羯座,1956年01月03日,"美国,纽约,皮克斯基尔",演员 / 导演 / 制片人 / 编剧 / 配音,nm0000154,https://img1.doubanio.com/view/celebrity/raw/public/p1485855325.98.jpg,Mel Columcille Gerard Gibson (本名),米路吉逊 / 梅尔吉勃逊 / 梅尔·吉普森,Robyn Moore（前妻）,,
1027164,乔恩·费儒 Jon Favreau,乔恩·费儒,Jon Favreau,男,天秤座,1966年10月19日,"美国,纽约,皇后区",演员 / 制片人 / 导演 / 编剧 / 配音,nm0269463,https://img9.doubanio.com/view/celebrity/raw/public/p1405546733.56.jpg,Jonathan Kolia Favreau (本名) / Favs (昵称),强·费儒 / 乔恩·法夫罗,Joya Tillem（妻）,,
1031987,戈尔·维宾斯基 Gore Verbinski,戈尔·维宾斯基,Gore Verbinski,男,双鱼座,1964年03月16日,"美国,田纳西州,橡树岭",导演 / 制片人 / 编剧 / 配音 / 音乐,nm0893659,https://img1.doubanio.com/view/celebrity/raw/public/p4299.jpg,Gregor Verbinski (本名),高尔韦宾斯基,,,
1054518,让-皮埃尔·热内 Jean-Pierre Jeunet,让-皮埃尔·热内,Jean-Pierre Jeunet,男,处女座,1953年09月03日,"法国,卢瓦尔河,罗安娜",导演 / 编剧 / 制片人 / 演员,nm0000466,https://img1.doubanio.com/view/celebrity/raw/public/p9069.jpg,Jean Pierre Jeunet / Jean-Pierre Jeunett,,,,
1331673,纳塔吾·彭皮里亚 Nattawut Poonpiriya,纳塔吾·彭皮里亚,Nattawut Poonpiriya,,白羊座,1981年03月24日,泰国,导演 / 编剧,nm5464371,https://img1.doubanio.com/view/celebrity/raw/public/p1502329251.58.jpg,นัฐวุฒิ พูนพิริยะ / Baz,,,,
1285579,卢卡·瓜达尼诺 Luca Guadagnino,卢卡·瓜达尼诺,Luca Guadagnino,,狮子座,1971年08月10日,"意大利,西西里,帕勒莫",导演 / 制片人 / 编剧 / 演员,nm0345174,https://img2.doubanio.com/view/personage/raw/public/4cc3961dde8530b1a91a60684edbdd6f.jpg,,卢卡·圭达尼诺 / 鲁卡·加达连奴(港) / 卢卡·格达戈尼诺(台),Ferdinando Cito Filomarino(男友),,
1044872,韦斯·安德森 Wes Anderson,韦斯·安德森,Wes Anderson,男,金牛座,1969年05月01日,"美国,得克萨斯州,休斯敦",导演 / 编剧 / 制片人 / 演员 / 配音,nm0027572,https://img1.doubanio.com/view/celebrity/raw/public/p1372326428.67.jpg,Wesley Wales Anderson(本名),,埃里克·安德森(弟) / 梅尔·安德森(兄) / 德克萨斯·安德森(父) / 梅尔弗·安德森(母),,
1054425,马丁·斯科塞斯 Martin Scorsese,马丁·斯科塞斯,Martin Scorsese,男,天蝎座,1942年11月17日,"美国,纽约,皇后区",制片人 / 演员 / 导演 / 编剧 / 配音,nm0000217,https://img1.doubanio.com/view/personage/raw/public/43fb2ed0ca3e05305ca1743b809b3ae7.jpg,Martin Marcantonio Luciano Scorsese (本名) / Marty (昵称),马丁·斯科西斯 / 马田史高西斯 / 马丁史柯席斯 / 马丁·斯科塞西,,,
1028844,李濬益 Jun-ik Lee,李濬益,Jun-ik Lee,男,处女座,1959年09月21日,"韩国,首尔",导演 / 制片人 / 演员,nm1045937,https://img1.doubanio.com/view/personage/raw/public/332cdee5e0525fca676d4c6e08f2358d.jpg,이준익 / 李俊益,李浚谥 / 李准益,,,
1012521,大卫·芬奇 David Fincher,大卫·芬奇,David Fincher,男,处女座,1962年08月28日,"美国,科罗拉多,丹佛",导演 / 制片人 / 演员 / 视觉特效 / 编剧,nm0000399,https://img1.doubanio.com/view/celebrity/raw/public/p22137.jpg,David Andrew Leo Fincher(本名) / Davey(昵称) / Finch(昵称),大卫·芬查(港) / 戴维·芬彻,唐雅·菲奥伦提诺(前妻) / Ceán Chaffin(妻) / 杰克·芬奇(父),,
1326818,柯克·德·米科 Kirk De Micco,柯克·德·米科,Kirk De Micco,男,,,,编剧 / 导演,nm0210320,https://img9.doubanio.com/view/celebrity/raw/public/p1363846957.86.jpg,,科克·得·米克,,,
1032241,克里斯·桑德斯 Chris Sanders,克里斯·桑德斯,Chris Sanders,男,双鱼座,1960年03月15日,"美国,科罗拉多州",编剧 / 配音 / 导演 / 演员,nm0761498,https://img2.doubanio.com/view/celebrity/raw/public/p1363847021.32.jpg,Christopher Michael Sanders (本名) / Stitch (昵称),,,,
1000304,马丁·麦克唐纳 Martin McDonagh,马丁·麦克唐纳,Martin McDonagh,男,白羊座,1970年03月26日,"英国,伦敦,坎伯韦尔",编剧 / 导演 / 制片人 / 演员,nm1732981,https://img2.doubanio.com/view/celebrity/raw/public/p1515679206.2.jpg,,马丁·麦克多纳 / 马丁·麦克道纳格,约翰·迈克尔·麦克唐纳(哥) / Phoebe Waller-Bridge（女友）,,
